prefecture,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total,1071305,1050807,1037232,1029817,1003609,1005721,977242,946146,918400,865239,840835,811622,770759
01 Hokkaido,40158,39292,38686,38190,37058,36696,35129,34058,32642,31020,29523,28762,26407
02 Aomori,9712,9532,9168,9126,8853,8621,8626,8035,7803,7170,6837,6513,5985
03 Iwate,9745,9310,9277,9231,8803,8814,8342,8175,7615,6974,6718,6472,5788
04 Miyagi,19126,18062,18707,18949,18069,18023,17399,16681,16211,14947,14480,13761,12852
05 Akita,6688,6658,6543,6177,5998,5861,5666,5396,5040,4696,4499,4335,3992
06 Yamagata,8651,8555,8212,8159,7966,7831,7547,7259,6973,6401,6217,5898,5674
07 Fukushima,16126,15072,13770,14546,14518,14195,13745,13219,12495,11552,11215,10649,9709
08 Ibaraki,23989,23219,22896,22358,21932,21700,20878,20431,19368,18004,17389,16502,15905
09 Tochigi,16473,15913,15973,15588,15442,15306,14621,14029,13495,12608,11808,11475,10518
10 Gunma,16023,15637,14914,14732,14522,14256,13661,13280,12922,11901,11660,11236,10688
11 Saitama,59437,58059,56943,57470,55765,56078,54452,53076,51241,48298,47328,45424,43451
12 Chiba,51633,50379,48881,48343,46753,47019,45389,44055,43404,40799,40168,38426,36966
13 Tokyo,108135,106027,107401,109986,110629,113194,111964,108990,107150,101818,99661,95404,91097
14 Kanagawa,78077,76000,75477,74320,72997,73476,70649,68133,66564,63035,60865,58836,56498
15 Niigata,18083,17667,17476,17066,16480,16340,15737,14967,14509,13640,12981,12608,11732
16 Toyama,8188,7823,7880,7722,7556,7567,7302,7178,6846,6604,6256,6076,6022
17 Ishikawa,9602,9555,9544,9449,8961,9072,8928,8696,8359,7808,7712,7258,7075
18 Fukui,6874,6728,6712,6461,6166,6230,6114,5856,5826,5307,5313,5223,4861
19 Yamanashi,6651,6412,6336,6198,6063,5988,5819,5705,5556,5193,5184,4966,4759
20 Nagano,17233,16917,16661,16326,15848,15639,15171,14525,14184,13553,12864,12514,12143
21 Gifu,16887,16851,16496,16000,15138,15467,14831,14040,13720,12776,12092,11730,11124
22 Shizuoka,31896,31172,30810,30260,28684,28352,27654,26261,25192,23457,22497,21571,20575
23 Aichi,69872,68973,67913,66825,65219,65615,64231,62436,61230,57145,55613,53918,51152
24 Mie,15262,15080,14729,14514,13727,13950,13376,12663,12582,11690,11141,10980,10489
25 Shiga,13363,13338,13236,13015,12729,12622,12073,11600,11350,10627,10437,10130,9766
26 Kyoto,21234,20707,20111,20106,19583,19663,19327,18521,17909,16993,16440,15818,15068
27 Osaka,75080,73919,73012,72054,69968,70596,68817,66605,65446,62557,61878,59780,57315
28 Hyogo,47834,47351,46436,45673,44352,44016,43379,41606,39713,38043,36953,35581,33565
29 Nara,10694,10400,10565,10190,9625,9832,9430,8965,8947,8323,7831,7751,7315
30 Wakayama,7587,7460,7424,7122,7140,7030,6659,6465,6070,5869,5732,5514,5238
31 Tottori,4790,4931,4771,4759,4527,4624,4436,4310,4190,3988,3783,3708,3752
32 Shimane,5756,5582,5585,5534,5359,5551,5300,5109,4887,4594,4473,4415,4161
33 Okayama,16759,16635,16279,16210,15837,15599,15477,14910,14485,13695,13521,13107,12371
34 Hiroshima,25546,25469,24846,24713,23776,23679,22736,22150,21363,20034,19606,18636,17903
35 Yamaguchi,11551,11222,10797,10705,10197,10360,9844,9455,8987,8771,8203,7978,7762
36 Tokushima,5904,5914,5744,5666,5502,5586,5346,5182,4998,4554,4521,4337,4148
37 Kagawa,8397,8311,8161,8059,7745,7719,7510,7387,6899,6631,6179,6223,5802
38 Ehime,11427,11329,11130,10696,10399,10146,9911,9569,9330,8446,8102,8011,7572
39 Kochi,5518,5244,5266,5266,5015,5052,4779,4837,4559,4270,4082,4090,3721
40 Fukuoka,46818,46220,45815,45898,45203,45236,44036,43440,42008,39754,38966,37540,35970
41 Saga,7640,7613,7440,7276,7159,7064,6811,6743,6535,6231,6004,5853,5552
42 Nagasaki,12004,11727,11723,11566,11323,11020,10886,10558,10135,9585,9182,8862,8364
43 Kumamoto,16246,16118,15996,15954,15558,15577,14896,14657,14301,13305,13011,12670,11875
44 Oita,10072,9988,9650,9605,9280,9113,9059,8658,8200,7624,7582,7327,6798
45 Miyazaki,10217,10152,9858,9854,9509,9226,8929,8797,8434,8043,7720,7590,7136
46 Kagoshima,15124,15244,14841,14637,14236,14125,13688,13209,12956,11977,11638,11618,10540
47 Okinawa,17098,16918,17074,17209,16375,16942,16617,16218,15732,14902,14943,14535,13594