prefecture,pop,island
Aichi-ken,"7,495,171",Honshu
Akita-ken,"929,901",Honshu
Aomori-ken,"1,204,392",Honshu
Chiba-ken,"6,265,975",Honshu
Ehime-ken,"1,306,486",Shikoku
Fukui-ken,"752,855",Honshu
Fukuoka-ken,"5,116,046",Kyushu
Fukushima-ken,"1,790,181",Honshu
Gifu-ken,"1,945,763",Honshu
Gunma-ken,"1,913,254",Honshu
Hiroshima-ken,"2,759,500",Honshu
Hokkaido,"5,140,354",Hokkaido
Hyogo-ken,"5,402,493",Honshu
Ibaraki-ken,"2,839,555",Honshu
Ishikawa-ken,"1,117,637",Honshu
Iwate-ken,"1,180,595",Honshu
Kagawa-ken,"934,060",Shikoku
Kagoshima-ken,"1,562,662",Kyushu
Kanagawa-ken,"9,232,489",Honshu
Kochi-ken,"675,705",Shikoku
Kumamoto-ken,"1,718,327",Kyushu
Kyoto-fu,"2,549,749",Honshu
Mie-ken,"1,742,174",Honshu
Miyagi-ken,"2,279,977",Honshu
Miyazaki-ken,"1,052,338",Kyushu
Nagano-ken,"2,019,993",Honshu
Nagasaki-ken,"1,283,128",Kyushu
Nara-ken,"1,305,812",Honshu
Niigata-ken,"2,152,693",Honshu
Oita-ken,"1,106,831",Kyushu
Okayama-ken,"1,862,317",Honshu
Okinawa-ken,"1,468,318",Ryukyu
Osaka-fu,"8,782,484",Honshu
Saga-ken,"800,787",Kyushu
Saitama-ken,"7,337,089",Honshu
Shiga-ken,"1,408,931",Honshu
Shimane-ken,"657,909",Honshu
Shizuoka-ken,"3,582,297",Honshu
Tochigi-ken,"1,908,821",Honshu
Tokushima-ken,"703,852",Shikoku
Tokyo-to,"14,038,167",Honshu
Tottori-ken,"543,620",Honshu
Toyama-ken,"1,016,534",Honshu
Wakayama-ken,"903,265",Honshu
Yamagata-ken,"1,041,025",Honshu
Yamaguchi-ken,"1,313,403",Honshu
Yamanashi-ken,"801,874",Honshu